Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Falcon 9 Block 5 | Starlink Group 6-2,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-2,04/19/2023 10:31 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Starship | Integrated Flight Test,Launch Failure,SpaceX,Starship,Integrated Flight Test,04/20/2023 9:33 a.m.,"Orbital Launch Mount A | SpaceX Starbase, TX, USA"
PSLV-CA | TeLEOS-2,Launch Successful,Indian Space Research Organization,PSLV,TeLEOS-2,04/22/2023 4:50 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India"
SpaceShipTwo | VSS Unity 24,Launch Successful,Virgin Galactic,SpaceShipTwo,VSS Unity 24,04/26/2023 9:47 a.m.,Spaceport America | Air launch to Suborbital flight
Falcon 9 Block 5 | Starlink Group 3-5,Launch Successful,SpaceX,Falcon 9,Starlink Group 3-5,04/27/2023 9:40 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Falcon 9 Block 5 | O3b mPower 3 & 4,Launch Successful,SpaceX,Falcon 9,O3b mPower 3 & 4,04/28/2023 6:12 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Falcon Heavy | ViaSat-3 Americas & others,Launch Successful,SpaceX,Falcon Heavy,ViaSat-3 Americas & others,04/30/2023 8:26 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
Falcon 9 Block 5 | Starlink Group 5-6,Launch Successful,SpaceX,Falcon 9,Starlink Group 5-6,05/04/2023 3:31 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Electron | Rocket Like A Hurricane (TROPICS-2),Launch Successful,Rocket Lab,Electron,TROPICS-2,05/07/2023 9 p.m.,"Rocket Lab Launch Complex 1B | Onenui Station, Mahia Peninsula, New Zealand"
Long March 7 | Tianzhou-6,Launch Successful,China Aerospace Science and Technology Corporation,Long March 7,Tianzhou-6,05/10/2023 9:22 a.m.,"201 | Wenchang Space Launch Site, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 2-9,Launch Successful,SpaceX,Falcon 9,Starlink Group 2-9,05/10/2023 4:09 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Falcon 9 Block 5 | Starlink Group 5-9,Launch Successful,SpaceX,Falcon 9,Starlink Group 5-9,05/14/2023 1:03 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Long March 3B/E | Beidou-3 G4,Launch Successful,China Aerospace Science and Technology Corporation,Long March 3,Beidou-3 G4,05/16/2023 10:49 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 6-3,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-3,05/19/2023 2:19 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Falcon 9 Block 5 | Iridium-9 & OneWeb 19,Launch Successful,SpaceX,Falcon 9,Iridium-9 & OneWeb 19,05/20/2023 9:16 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Long March 2C | MUST-1A/B & Luojia-2 01,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2,MUST-1A/B & Luojia-2 01,05/21/2023 4 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China"
